epoch,train_loss,train_top1,val_loss,val_top1,epoch_time,throughput
0,2.08898546875,29.436,1.847459765625,37.93,19.394258737564087,2578.082548891476
1,1.67845953125,42.598,3.6337890625,31.509999999999998,2.046997308731079,24426.021366386012
2,1.53640796875,46.572,1.45474794921875,48.88,2.2269446849823,22452.286460989224
3,1.42418203125,51.18000000000001,1.332925,53.47,2.1465530395507812,23293.158416650967
4,1.304783515625,54.088,1.09485517578125,61.839999999999996,2.1520533561706543,23233.62469458916
5,1.029099296875,63.266,0.9485162109375,66.13,2.3528690338134766,21250.65155834923
6,0.970658671875,65.412,0.9195185546875,66.64999999999999,2.432832717895508,20552.173452867686
7,0.9297709375,66.888,0.89181171875,68.03,2.4321296215057373,20558.114813405744
8,0.899795078125,67.96,0.8555990234375,69.56,2.4349913597106934,20533.953765626753
9,0.86396921875,69.344,0.83855908203125,70.25,2.4258346557617188,20611.462484156764
10,0.847873515625,69.98400000000001,0.818685546875,71.34,2.4487524032592773,20418.560869384037
11,0.816692578125,71.236,0.8077025390625,71.67999999999999,2.36189603805542,21169.433029391785
12,0.79946140625,71.624,0.78875390625,72.6,2.4242024421691895,20625.34016559266
13,0.77400328125,72.44800000000001,0.7691140625,73.61999999999999,2.3941149711608887,20884.54422711177
14,0.758446640625,73.068,0.754128466796875,73.68,2.4510481357574463,20399.436172047484
15,0.738172109375,73.88,0.75412998046875,73.88,2.4314637184143066,20563.745048438475
16,0.7179225,74.46000000000001,0.73001943359375,74.48,2.3931081295013428,20893.330887818516
17,0.69538765625,75.254,0.733801904296875,74.63,2.4651970863342285,20282.354006166086
18,0.682185546875,75.802,0.727711669921875,74.95,2.40409779548645,20797.82282312808
19,0.669106875,76.334,0.6972005859375,75.85,2.3678102493286133,21116.556959822847
20,0.650643671875,76.9,0.70651728515625,75.7,2.401531219482422,20820.0499724405
21,0.635090859375,77.434,0.696551513671875,75.92,2.367222785949707,21121.797363884565
22,0.6235828515625,77.99199999999999,0.6733685546875,76.53999999999999,2.2685513496398926,22040.497345557967
23,0.6150012109375,78.31,0.67567685546875,76.5,2.400916814804077,20825.377910512976
24,0.60061890625,78.75,0.663487109375,76.81,2.5010125637054443,19991.902769940953
25,0.5983076171875,78.88199999999999,0.663528466796875,76.88000000000001,2.363896608352661,21151.51729704613
26,0.59338515625,79.096,0.659141748046875,77.10000000000001,2.469974994659424,20243.119913403953
27,0.588391953125,79.16,0.65469599609375,77.45,2.4635419845581055,20295.980467720212
28,0.5793803515625,79.494,0.6587865234375,77.2,2.334944009780884,21413.789705686395
29,0.58113453125,79.422,0.656383447265625,77.35,2.4063990116119385,20777.93406609956
